epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.018,1.45043,3.54656,0.94134,0.68836,0.38133,0.44162,0.24948,1.34637,2.01669,0.88541,0.00330969,0.00330969,0.0702128
2,302.927,1.4423,2.14948,0.89482,0.31175,0.64791,0.46854,0.26742,1.23086,1.86315,0.91141,0.00651149,0.00651149,0.0400812
3,429.16,1.53826,2.04351,0.92465,0.37806,0.4778,0.44925,0.25636,1.34609,1.93753,0.94308,0.0095813,0.0095813,0.0098177
4,558.726,1.64382,1.86911,0.95447,0.48689,0.56495,0.52814,0.30423,1.33023,1.57405,0.9294,0.009406,0.009406,0.009406
5,683.505,1.48831,1.93685,0.91719,0.45757,0.59898,0.55123,0.33144,1.31172,1.48273,0.92885,0.009208,0.009208,0.009208
6,822.024,1.48684,1.70036,0.9149,0.51133,0.51874,0.54236,0.3495,1.14944,1.59464,0.90273,0.00901,0.00901,0.00901
7,941.384,1.44282,1.63574,0.92149,0.58602,0.62689,0.57276,0.37354,1.21171,1.34536,0.89151,0.008812,0.008812,0.008812
8,1071.69,1.40878,1.63561,0.92132,0.70534,0.5493,0.53473,0.33859,1.13314,1.71018,0.89031,0.008614,0.008614,0.008614
9,1193.93,1.35502,1.66097,0.89737,0.49975,0.57962,0.55065,0.35145,1.12467,1.41148,0.90788,0.008416,0.008416,0.008416
10,1450.57,1.27892,1.44539,0.88044,0.48852,0.57658,0.5853,0.38779,1.15886,1.41736,0.90261,0.008218,0.008218,0.008218
11,1570.8,1.31633,1.38326,0.89639,0.52387,0.55438,0.5696,0.36761,1.17192,1.3239,0.91039,0.00802,0.00802,0.00802
12,1697.56,1.27687,1.39438,0.88531,0.76027,0.48071,0.55923,0.38672,1.11286,1.25533,0.90219,0.007822,0.007822,0.007822
13,118.72,1.26614,1.28901,0.88908,0.51729,0.59185,0.58265,0.38559,1.10339,1.18593,0.89323,0.007624,0.007624,0.007624
14,239.726,1.18766,1.3108,0.88054,0.41558,0.66599,0.59324,0.41446,1.00474,1.16721,0.87625,0.007426,0.007426,0.007426
15,361.737,1.20066,1.24129,0.87993,0.74827,0.51321,0.55028,0.36551,1.05295,1.15213,0.87843,0.007228,0.007228,0.007228
16,479.588,1.15125,1.1039,0.87575,0.60503,0.63448,0.64159,0.43829,1.03433,1.15734,0.88466,0.00703,0.00703,0.00703
17,598.849,1.08149,1.20171,0.8615,0.62505,0.56861,0.64034,0.46744,0.99785,1.07631,0.88413,0.006832,0.006832,0.006832
18,718.376,1.15779,1.09599,0.86586,0.67308,0.56645,0.65325,0.46275,1.02273,1.05402,0.88917,0.006634,0.006634,0.006634
19,837.041,1.09642,1.06363,0.87655,0.70004,0.60766,0.66927,0.49182,0.95801,1.03644,0.86884,0.006436,0.006436,0.006436
20,956.746,1.12853,1.13023,0.88026,0.57533,0.6758,0.66081,0.47145,0.93058,1.03987,0.87252,0.006238,0.006238,0.006238
21,1076.58,1.08589,1.09286,0.85318,0.60249,0.5197,0.62786,0.44544,1.01065,1.17313,0.87648,0.00604,0.00604,0.00604
22,1201.06,1.025,1.03126,0.83601,0.54183,0.65343,0.65294,0.48148,0.9601,1.25388,0.87373,0.005842,0.005842,0.005842
23,1320.47,1.06459,1.02554,0.85658,0.56936,0.67392,0.66015,0.46664,0.94818,1.02437,0.86683,0.005644,0.005644,0.005644
24,1442.9,0.9905,0.98284,0.84276,0.6064,0.67914,0.66668,0.47087,0.95207,0.99416,0.86903,0.005446,0.005446,0.005446
25,1561.32,1.04531,1.04226,0.86685,0.59314,0.69852,0.6859,0.50595,0.91337,1.00907,0.86204,0.005248,0.005248,0.005248
26,1680.78,1.05665,1.05939,0.86286,0.75831,0.64123,0.70994,0.52137,0.94313,0.99782,0.86337,0.00505,0.00505,0.00505
27,124.395,0.98134,0.96043,0.84633,0.59589,0.69769,0.68006,0.50577,0.9169,0.96713,0.85792,0.004852,0.004852,0.004852
28,244.974,0.95636,0.9696,0.83953,0.50958,0.76821,0.65248,0.48486,0.89097,0.99166,0.85455,0.004654,0.004654,0.004654
